pair_id,feature_code,strength,prompt_idx,left_item_id,right_item_id,left_overall_quality,right_overall_quality,left_fluency_composite,right_fluency_composite,left_target_success,right_target_success,overall_preference,fluency_preference,concept_preference,derivation
P0001,F12,2.0,3,A0056,A0311,1,1,1.0,1.0,1,1,tie,tie,tie,mechanical_from_blind_item_scores
P0002,F06,2.0,10,A0145,A0230,1,1,1.0,1.0,2,1,tie,tie,left,mechanical_from_blind_item_scores
P0003,F12,2.5,27,A0050,A0168,1,1,1.0,1.0,1,1,tie,tie,tie,mechanical_from_blind_item_scores
P0004,F05,3.0,1,A0423,A0348,1,1,1.0,1.0,4,4,tie,tie,tie,mechanical_from_blind_item_scores
P0005,F03,1.0,27,A0282,A0253,4,4,4.5,4.5,5,4,tie,tie,left,mechanical_from_blind_item_scores
P0006,F03,1.0,25,A0079,A0232,3,3,4.5,4.5,1,1,tie,tie,tie,mechanical_from_blind_item_scores
P0007,F03,2.5,29,A0206,A0316,3,4,4.0,4.5,1,4,right,right,right,mechanical_from_blind_item_scores
P0008,F06,0.0,5,A0036,A0139,3,3,5.0,5.0,1,1,tie,tie,tie,mechanical_from_blind_item_scores
P0009,F02,3.0,19,A0387,A0290,1,1,1.0,1.0,4,1,tie,tie,left,mechanical_from_blind_item_scores
P0010,F06,1.5,2,A0071,A0068,2,2,2.5,2.5,5,5,tie,tie,tie,mechanical_from_blind_item_scores
P0011,F04,2.5,7,A0457,A0420,1,1,1.5,1.0,2,5,tie,left,right,mechanical_from_blind_item_scores
P0012,F03,1.25,12,A0390,A0275,4,3,4.0,4.0,5,4,left,tie,left,mechanical_from_blind_item_scores
P0013,F06,0.5,20,A0102,A0305,3,3,4.0,4.0,1,1,tie,tie,tie,mechanical_from_blind_item_scores
P0014,F02,1.25,23,A0386,A0094,3,2,3.5,2.5,2,1,left,left,left,mechanical_from_blind_item_scores
P0015,F08,0.5,18,A0221,A0126,2,3,4.0,4.0,1,1,right,tie,tie,mechanical_from_blind_item_scores
P0016,F06,1.25,8,A0004,A0174,1,3,2.5,4.0,1,5,right,right,right,mechanical_from_blind_item_scores
P0017,F12,2.5,3,A0156,A0449,1,1,1.0,1.0,1,1,tie,tie,tie,mechanical_from_blind_item_scores
P0018,F02,1.0,25,A0229,A0028,3,3,3.5,3.5,1,1,tie,tie,tie,mechanical_from_blind_item_scores
P0019,F12,1.5,4,A0227,A0072,1,1,1.0,1.0,1,1,tie,tie,tie,mechanical_from_blind_item_scores
P0020,F07,3.0,5,A0297,A0370,1,1,1.0,1.0,4,4,tie,tie,tie,mechanical_from_blind_item_scores
P0021,F07,1.0,4,A0054,A0343,3,3,2.5,4.5,5,2,tie,right,left,mechanical_from_blind_item_scores
P0022,F07,3.0,29,A0340,A0205,1,1,1.0,1.0,4,4,tie,tie,tie,mechanical_from_blind_item_scores
P0023,F07,2.0,17,A0129,A0030,2,2,2.5,2.0,4,5,tie,left,right,mechanical_from_blind_item_scores
P0024,F07,1.5,10,A0328,A0251,3,2,3.0,3.0,5,3,left,tie,left,mechanical_from_blind_item_scores
P0025,F06,3.0,6,A0431,A0170,1,1,1.0,1.0,1,1,tie,tie,tie,mechanical_from_blind_item_scores
P0026,F11,1.25,18,A0443,A0089,5,4,4.5,4.5,5,5,left,tie,tie,mechanical_from_blind_item_scores
P0027,F09,1.25,19,A0405,A0183,2,3,3.0,4.0,4,3,right,right,left,mechanical_from_blind_item_scores
P0028,F10,0.5,1,A0191,A0249,4,3,4.5,4.5,4,1,left,tie,left,mechanical_from_blind_item_scores
P0029,F08,2.0,3,A0308,A0167,1,1,1.5,1.5,5,2,tie,tie,left,mechanical_from_blind_item_scores
P0030,F11,1.0,1,A0119,A0151,3,4,4.0,4.0,3,5,right,tie,right,mechanical_from_blind_item_scores
P0031,F12,0.5,27,A0162,A0428,3,3,4.5,4.0,1,1,tie,left,tie,mechanical_from_blind_item_scores
P0032,F10,1.0,17,A0434,A0396,1,3,1.0,4.0,5,4,right,right,left,mechanical_from_blind_item_scores
P0033,F10,1.5,18,A0115,A0131,1,1,1.5,1.0,5,5,tie,left,tie,mechanical_from_blind_item_scores
P0034,F01,1.5,0,A0375,A0002,3,2,3.0,2.5,5,2,left,left,left,mechanical_from_blind_item_scores
P0035,F07,1.25,9,A0366,A0281,2,2,2.0,2.5,5,4,tie,right,left,mechanical_from_blind_item_scores
P0036,F12,1.0,16,A0074,A0312,2,3,2.5,4.0,1,1,right,right,tie,mechanical_from_blind_item_scores
P0037,F12,0.0,11,A0082,A0454,3,3,4.5,4.5,1,1,tie,tie,tie,mechanical_from_blind_item_scores
P0038,F06,1.5,8,A0351,A0035,2,2,3.0,2.5,4,2,tie,left,left,mechanical_from_blind_item_scores
P0039,F07,1.0,17,A0465,A0222,4,3,4.5,4.0,5,4,left,left,left,mechanical_from_blind_item_scores
P0040,F05,0.5,8,A0392,A0461,4,3,4.0,3.5,4,5,left,left,right,mechanical_from_blind_item_scores
P0041,F05,0.0,23,A0211,A0310,4,4,4.5,4.5,4,4,tie,tie,tie,mechanical_from_blind_item_scores
P0042,F12,1.25,24,A0344,A0345,1,2,1.0,2.0,1,1,right,right,tie,mechanical_from_blind_item_scores
P0043,F03,2.0,0,A0372,A0313,3,4,3.5,4.0,4,5,right,right,right,mechanical_from_blind_item_scores
P0044,F06,0.5,18,A0266,A0400,3,3,4.5,4.5,5,5,tie,tie,tie,mechanical_from_blind_item_scores
P0045,F01,1.0,11,A0335,A0374,3,3,2.5,3.5,5,4,tie,right,left,mechanical_from_blind_item_scores
P0046,F03,1.25,24,A0087,A0038,4,4,4.5,4.5,4,4,tie,tie,tie,mechanical_from_blind_item_scores
P0047,F04,2.0,23,A0379,A0353,2,1,2.5,1.0,4,5,left,left,right,mechanical_from_blind_item_scores
P0048,F05,1.5,15,A0080,A0190,1,1,1.0,1.0,4,4,tie,tie,tie,mechanical_from_blind_item_scores
P0049,F04,2.0,13,A0259,A0324,1,1,1.5,1.5,1,5,tie,tie,right,mechanical_from_blind_item_scores
P0050,F12,1.0,25,A0358,A0455,1,3,1.0,3.5,1,4,right,right,right,mechanical_from_blind_item_scores
P0051,F10,0.5,26,A0147,A0012,2,3,3.0,4.0,5,1,right,right,left,mechanical_from_blind_item_scores
P0052,F03,3.0,13,A0078,A0032,2,2,1.5,3.0,5,1,tie,right,left,mechanical_from_blind_item_scores
P0053,F12,3.0,15,A0438,A0284,1,1,1.0,1.0,1,1,tie,tie,tie,mechanical_from_blind_item_scores
P0054,F04,0.0,28,A0285,A0085,3,3,4.5,4.5,1,1,tie,tie,tie,mechanical_from_blind_item_scores
P0055,F08,1.0,4,A0201,A0180,1,2,1.0,2.5,5,5,right,right,tie,mechanical_from_blind_item_scores
P0056,F01,0.5,21,A0245,A0112,4,4,4.5,4.5,5,5,tie,tie,tie,mechanical_from_blind_item_scores
P0057,F11,1.5,7,A0132,A0070,2,2,2.0,3.5,5,2,tie,right,left,mechanical_from_blind_item_scores
P0058,F05,2.5,17,A0468,A0362,1,1,1.0,1.0,4,4,tie,tie,tie,mechanical_from_blind_item_scores
