arm,feature,c,prompt_idx,prompt,text,logppl,logppl_shuf,prompt_dependence,keyword_hit,sae_act,rep4
naive,18537,0.0,0,"Fifteen years ago this week, President"," Obama repeatedly made it clear that he preferred to improve the economic outlook for people. That may well be the case, but this time around, the president chose the opportunities and opportunities' brightest and we haven't seen the same with the longer-",3.26586651802063,,,0.0,0.0,0.0
naive,18537,0.0,1,After a pre-season speech in which," he vowed to grow the numbers of immigrants entering the country, Danneman warned that if anything, a backlash to what he sees as an unconstitutional public policy is going to come.

""Donald Trump doesn't think immigration is about infrastructure",3.3821380138397217,,,0.0,0.0,0.0
naive,18537,0.0,2,When people say Nile Rodgers has worked with," people from all over Australia, to and from South Australia, it has always been true that he plays on a particular sport, and this coming Tuesday's match will be only a small part of that story.

It is the undeniable fact",3.1121041774749756,,,0.0,0.0,0.0
naive,18537,0.0,3,Hillary Clinton has reestablished her advantage over," Bernie Sanders as more stable GOP-held states such as Massachusetts become more competitive against Trump.

But there were other reasons for Obama's advantage. For one, he has been more influential in congressional races in swing states like Alabama, Mississippi",2.8194801807403564,,,0.0,0.0,0.0
naive,18537,0.0,4,November auction will be test of Detroit commercial,"'s presence in the area. The 40-year-old LeSalle online store will be heading to location in the northwest half of Alsace Heights north of the Gulfport Tollway.


Article continues below

Last week",3.7340431213378906,4.493465423583984,0.7594223022460938,0.0,0.0,0.0
naive,18537,0.0,5,Every week we shine a light on the," fascinating research between police and highly educated non-government organizations about the use of surveillance. These nine topics covered occur every week on Time Station Informatics in NYC, a four-day conference that compares the experiences and potential use of surveillance and",4.536930084228516,,,0.0,0.0,0.0
naive,18537,0.0,6,Image copyright Getty Images Image caption The show," debuted on MTV in 2016

The coming show won't be known for its depiction of vampires – but the results show that flimflam is likely to be accepted by fans of the show.

On top of a deluge",3.173527240753174,,,0.0,0.0,0.0
naive,18537,0.0,7,"Last month, Greedhead rapper Lak","osimia Maken posted a tweet titled ""Muslim, Jew, Mexican, NYU faculty sue over Muslim News Conference with Moroccan jokes"" around the same time the University of Southern California (USC) issued a statement saying it was ""deep",3.8941569328308105,,,0.0,0.0,0.0
naive,18537,0.0,8,This is the second article in a series," of posts on Encryption and Decryption for JSON. The first post had the following description of what is all [], and the last post had the following description of crypting JSON, with the particularity of the JSON encoded method's name",3.457871437072754,,,0.0,0.0,0.08108108108108103
naive,18537,0.0,9,"A curious business, and one for which",", in its turn, it cannot have run without, is the Cointreau restaurant in Brattleboro.

The chain's website can be found here. A number of Pembrey-based employees have been charged with misdemean",3.395670175552368,,,0.0,0.0,0.0
naive,18537,0.0,10,"BIRMINGHAM, Ala. (","AP) — Alabama high school football players are expressing concern that at least one player on a squad was disciplined after he allegedly sexually assaulted a teammate.

The injury and suspension comes in the wake of a series of sexual misconduct allegations against the",2.3534185886383057,,,0.0,0.0,0.0
naive,18537,0.0,11,"Image caption The article suggested: ""They"," will find [depressing] something in me"".

The ring of mutated rabbits allegedly used to carry out a gambling act has been expanded by pub catchers, the BBC's Lars Pietersen reports.

The rabbits apparently became popular",4.274153709411621,,,0.0,0.0,0.0
naive,18537,0.0,12,Oscar may go free because of pics," of magicians. (Published Wednesday, Oct. 7, 2016)

MAGIC KNIGHT IAN CARCASSES Take Comeback Tackles All He's Told

Redondo Beach Street, the Old Circuit Beach",4.321637153625488,4.770817756652832,0.44918060302734375,0.0,0.0,0.0
naive,18537,0.0,13,The Thammasat University massacre (,"images) via Galtenews.com

Surrounded by his own lieutenants; devout religious allies; strength by God; current hostage of the Pope's organization; relentless force that practices mercy against the oppressed; a relentless rich",5.0993781089782715,,,0.0,0.0,0.0
naive,18537,0.0,14,He might not have the No. 1," and No. 2 pick in Thursday's draft, but he did wear out his welcome at Fort Worth Stadium.

This is the first time Gaines had worn the No. 1 overall pick since 2004.

That was the first",2.368631362915039,2.970945358276367,0.6023139953613281,0.0,0.0,0.0
naive,18537,0.0,15,Debian GNU/Linux 6.0,".3 64-bit OpenGL/multilib. Open Source Debian GNU/Linux 6.0.3 32-bit OpenGL/multilib

LibreOffice 35+ 3D Grid (2011) 38 MB OpenOffice 36",3.4151289463043213,4.089808940887451,0.6746799945831299,0.0,0.0,0.0
naive,18537,0.0,16,The US Department of Defense is calling for," an end to drone strikes in Yemen following the killing of al Qaeda members by Yemeni warplanes last month.

On Tuesday, the vice president and attorney general met with Secretary of Defense James Mattis, requesting that the US and the international community",2.2112560272216797,,,0.0,0.0,0.0
