arm,feature,c,prompt_idx,prompt,text,logppl,logppl_shuf,prompt_dependence,keyword_hit,sae_act,rep4
clean,24487,0.0,0,"Fifteen years ago this week, President"," Obama began his first day of the presidency by agreeing to reduce a 15 percent tax on the top 20 percent of earners. Back then, the idea of the ""Buffett Rule"" was a radical departure. To limit Wall Street's role in",2.747246026992798,3.2639567852020264,0.5167107582092285,0.0,0.0,0.0
clean,24487,0.0,1,After a pre-season speech in which," he commented on the team's performance, David Silva seems to be agreeing with his former coach when he said he is confident in a in-form defenceman.

Silva: my hopes rise as a maul at Barcelona

",3.8323941230773926,4.641595840454102,0.809201717376709,0.0,0.0,0.0
clean,24487,0.0,2,When people say Nile Rodgers has worked with," people, what is he trying to accomplish? It doesn't feel so much like an accent, but rather it feels like a knowledge transfer. Rodgers loves summer notes and goals as much as anyone, and there has to be a bit more something",3.6195735931396484,4.267568588256836,0.6479949951171875,0.0,0.0,0.0
clean,24487,0.0,3,Hillary Clinton has reestablished her advantage over," Bernie Sanders among registered voters across the country. Last week, the Democratic nominee learned from a formal list of delegates that Vermont Sen. Bernie Sanders is by far the frontrunner of the delegate count, but stayed out of the national spotlight. ""This",2.976527214050293,3.416558027267456,0.4400308132171631,0.0,0.0,0.0
clean,24487,0.0,4,November auction will be test of Detroit commercial,"'s framework for new size skyscrapers,"" Billboard, 1/14/15,""ABC Business Bureau)<|endoftext|>Nowadays micro-breweries are essentially independent companies, private accounts, established businesses, which online store the goods coming from their suppliers",4.819289684295654,5.208264350891113,0.388974666595459,0.0,0.0,0.0
clean,24487,0.0,5,Every week we shine a light on the," fascinating short-lived storm that came ashore on the Black Sea in the late 1960s. We discuss what they mean for them, how they define themselves, and how nature adapted itself to them.

With our website free and mobile,",3.331026077270508,3.4717206954956055,0.14069461822509766,0.0,0.0,0.0
clean,24487,0.0,6,Image copyright Getty Images Image caption The show," debuted at Cinque Ciela Theatre in Los Angeles

It started life as a young Madam Bichon, dabbled in a Spanish class but dropped out because she couldn't afford housing, said the screenwriter in",4.129144191741943,4.78633451461792,0.6571903228759766,0.0,0.0,0.0
clean,24487,0.0,7,"Last month, Greedhead rapper Lak","osen released his latest video (no, he won't call it that either) ""Loading... Loading...

Missed the video? Check out our other Spinoff Video WordPress Chat Show!

Comments »<|endoftext|>This page describes",4.005465030670166,4.606319904327393,0.6008548736572266,0.0,0.0,0.0
clean,24487,0.0,8,This is the second article in a series," of the Phillips B-150. The first articles have focused on the B-150's sub-performance aftermarket timing bin. This article builds on the Phillips B-450's performance in an FJ15SR situation, and discusses how",4.066742420196533,4.687235355377197,0.6204929351806641,0.0,0.0,0.0
clean,24487,0.0,9,"A curious business, and one for which",", let's face it, all the top US suppliers of high performance products are already prepping for downturns. In an unsurprising turn of events, Amazon is determined to avoid drawing the same lessons from the Great Recession to its sellers,",3.4766433238983154,3.564847946166992,0.08820462226867676,0.0,0.0,0.0
clean,24487,1.0,0,"Fifteen years ago this week, President"," Obama began his first day of the presidency by agreeing to reduce a 15 percent tax on the top 20 percent of earners. Back then, the idea of the ""Buffett Rule"" was a radical departure. To limit Wall Street's role in",2.747246026992798,3.2639567852020264,0.5167107582092285,0.0,0.0,0.0
clean,24487,1.0,1,After a pre-season speech in which," he commented on the team's performance, David Silva seems to be agreeing with his former coach when he said he is confident in a in-form defenceman.

Silva: my hopes rise as a maul at Barcelona

",3.8323941230773926,4.641595840454102,0.809201717376709,0.0,0.0,0.0
clean,24487,1.0,2,When people say Nile Rodgers has worked with," people, what is he trying to accomplish? It doesn't feel so much like an accent, but rather it feels like a knowledge transfer. Rodgers loves summer notes and goals as much as anyone, and there has to be a bit more something",3.6195735931396484,4.267568588256836,0.6479949951171875,0.0,0.0,0.0
clean,24487,1.0,3,Hillary Clinton has reestablished her advantage over," Bernie Sanders among registered voters across the country. Last week, the Democratic nominee learned from a formal list of delegates that Vermont Sen. Bernie Sanders is by far the frontrunner of the delegate count, but stayed out of the national spotlight. ""This",2.976527214050293,3.416558027267456,0.4400308132171631,0.0,0.0,0.0
clean,24487,1.0,4,November auction will be test of Detroit commercial,"'s framework for new size skyscrapers,"" Billboard, 1/14/15,""ABC Business Bureau)<|endoftext|>Nowadays micro-breweries are essentially independent companies, private accounts, established businesses, which online store the goods coming from their suppliers",4.819289684295654,5.208264350891113,0.388974666595459,0.0,0.0,0.0
clean,24487,1.0,5,Every week we shine a light on the," fascinating short-lived storm that came ashore on the Black Sea in the late 1960s. We discuss what they mean for them, how they define themselves, and how nature adapted itself to them.

With our website free and mobile,",3.331026077270508,3.4717206954956055,0.14069461822509766,0.0,0.0,0.0
clean,24487,1.0,6,Image copyright Getty Images Image caption The show," debuted at Cinque Ciela Theatre in Los Angeles

It started life as a young Madam Bichon, dabbled in a Spanish class but dropped out because she couldn't afford housing, said the screenwriter in",4.129144191741943,4.78633451461792,0.6571903228759766,0.0,0.0,0.0
clean,24487,1.0,7,"Last month, Greedhead rapper Lak","osen released his latest video (no, he won't call it that either) ""Loading... Loading...

Missed the video? Check out our other Spinoff Video WordPress Chat Show!

Comments »<|endoftext|>This page describes",4.005465030670166,4.606319904327393,0.6008548736572266,0.0,0.0,0.0
clean,24487,1.0,8,This is the second article in a series," of the Phillips B-150. The first articles have focused on the B-150's sub-performance aftermarket timing bin. This article builds on the Phillips B-450's performance in an FJ15SR situation, and discusses how",4.066742420196533,4.687235355377197,0.6204929351806641,0.0,0.0,0.0
clean,24487,1.0,9,"A curious business, and one for which",", let's face it, all the top US suppliers of high performance products are already prepping for downturns. In an unsurprising turn of events, Amazon is determined to avoid drawing the same lessons from the Great Recession to its sellers,",3.4766433238983154,3.564847946166992,0.08820462226867676,0.0,0.0,0.0
clean,24487,2.0,0,"Fifteen years ago this week, President"," Obama began his first day of the presidency by agreeing to reduce a 15 percent tax on the top 20 percent of earners. Back then, the idea of the ""Buffett Rule"" was a radical departure. To limit Wall Street's role in",2.747246026992798,3.2639567852020264,0.5167107582092285,0.0,0.0,0.0
clean,24487,2.0,1,After a pre-season speech in which," he commented on the team's performance, David Silva seems to be agreeing with his former coach when he said he is confident in a in-form defenceman.

Silva: my hopes rise as a maul at Barcelona

",3.8323941230773926,4.641595840454102,0.809201717376709,0.0,0.0,0.0
clean,24487,2.0,2,When people say Nile Rodgers has worked with," people, what is he trying to accomplish? It doesn't feel so much like an accent, but rather it feels like a knowledge transfer. Rodgers loves summer notes and goals as much as anyone, and there has to be a bit more something",3.6195735931396484,4.267568588256836,0.6479949951171875,0.0,0.0,0.0
clean,24487,2.0,3,Hillary Clinton has reestablished her advantage over," Bernie Sanders among registered voters across the country. Last week, the Democratic nominee learned from a formal list of delegates that Vermont Sen. Bernie Sanders is by far the frontrunner of the delegate count, but stayed out of the national spotlight. ""This",2.976527214050293,3.416558027267456,0.4400308132171631,0.0,0.0,0.0
clean,24487,2.0,4,November auction will be test of Detroit commercial,"'s framework for new size skyscrapers,"" Billboard, 1/14/15,""ABC Business Bureau)<|endoftext|>Nowadays micro-breweries are essentially independent companies, private accounts, established businesses, which online store the goods coming from their suppliers",4.819289684295654,5.208264350891113,0.388974666595459,0.0,0.0,0.0
clean,24487,2.0,5,Every week we shine a light on the," fascinating short-lived storm that came ashore on the Black Sea in the late 1960s. We discuss what they mean for them, how they define themselves, and how nature adapted itself to them.

With our website free and mobile,",3.331026077270508,3.4717206954956055,0.14069461822509766,0.0,0.0,0.0
clean,24487,2.0,6,Image copyright Getty Images Image caption The show," debuted at Cinque Ciela Theatre in Los Angeles

It started life as a young Madam Bichon, dabbled in a Spanish class but dropped out because she couldn't afford housing, said the screenwriter in",4.129144191741943,4.78633451461792,0.6571903228759766,0.0,0.0,0.0
clean,24487,2.0,7,"Last month, Greedhead rapper Lak","osen released his latest video (no, he won't call it that either) ""Loading... Loading...

Missed the video? Check out our other Spinoff Video WordPress Chat Show!

Comments »<|endoftext|>This page describes",4.005465030670166,4.606319904327393,0.6008548736572266,0.0,0.0,0.0
clean,24487,2.0,8,This is the second article in a series," of the Phillips B-150. The first articles have focused on the B-150's sub-performance aftermarket timing bin. This article builds on the Phillips B-450's performance in an FJ15SR situation, and discusses how",4.066742420196533,4.687235355377197,0.6204929351806641,0.0,0.0,0.0
clean,24487,2.0,9,"A curious business, and one for which",", let's face it, all the top US suppliers of high performance products are already prepping for downturns. In an unsurprising turn of events, Amazon is determined to avoid drawing the same lessons from the Great Recession to its sellers,",3.4766433238983154,3.564847946166992,0.08820462226867676,0.0,0.0,0.0
naive,24487,0.0,0,"Fifteen years ago this week, President"," Obama began his first day of the presidency by agreeing to reduce a 15 percent tax on the top 20 percent of earners. Back then, the idea of the ""Buffett Rule"" was a radical departure. To limit Wall Street's role in",2.747246026992798,3.2639567852020264,0.5167107582092285,0.0,0.0,0.0
